1	-0.22	-1.40	0.95	-0.08	-0.01	0.02
2	0.35	-0.82	0.47	-0.08	-0.00	0.02
3	1.17	-0.20	-0.26	-0.07	-0.00	0.02
4	2.28	0.41	-1.11	-0.07	0.00	0.02
5	-0.61	-1.75	1.31	-0.09	-0.01	0.02
6	1.50	0.31	-0.63	-0.07	0.00	0.02
7	-0.58	-1.34	1.30	-0.09	-0.01	0.01
8	-0.11	-1.03	0.91	-0.08	-0.00	0.02
9	0.53	-0.58	0.31	-0.08	-0.00	0.02
10	1.10	0.05	-0.45	-0.08	0.00	0.02
11	2.14	0.30	-0.90	-0.07	0.00	0.02
12	-0.88	-1.61	1.58	-0.09	-0.01	0.01
13	-0.88	-1.21	1.49	-0.09	-0.01	0.01
14	-0.57	-1.07	1.19	-0.08	-0.01	0.01
15	-0.13	-0.82	0.74	-0.08	-0.00	0.01
16	0.61	-0.37	0.13	-0.08	-0.00	0.02
17	1.66	0.31	-0.64	-0.07	0.00	0.02
18	-1.05	-1.27	1.68	-0.09	-0.01	0.01
19	-0.88	-1.15	1.44	-0.09	-0.01	0.01
20	1.35	0.10	-0.46	-0.07	0.00	0.02
21	0.38	-0.37	0.29	-0.08	-0.00	0.01
22	-0.32	-0.70	0.83	-0.08	-0.00	0.01
23	-0.78	-0.88	1.20	-0.08	-0.01	0.01
24	-1.00	-0.85	1.41	-0.09	-0.01	0.01
25	-1.08	-0.94	1.58	-0.09	-0.01	0.01
26	-1.16	-0.87	1.66	-0.09	-0.01	0.01
27	-1.20	-0.56	1.45	-0.09	-0.01	0.01
28	-1.07	-0.68	1.31	-0.09	-0.01	0.01
29	-0.86	-0.65	1.13	-0.08	-0.01	0.01
30	-0.49	-0.57	0.82	-0.08	-0.00	0.01
31	0.13	-0.34	0.34	-0.08	-0.00	0.01
32	1.03	0.05	-0.31	-0.07	-0.00	0.01
33	-1.22	-0.41	1.49	-0.09	-0.02	0.01
34	-1.06	-0.40	1.23	-0.09	-0.01	0.01
35	0.77	0.00	-0.16	-0.07	-0.00	0.01
36	-0.07	-0.30	0.39	-0.07	-0.00	0.01
37	-0.63	-0.45	0.78	-0.08	-0.01	0.01
38	-0.98	-0.50	1.05	-0.08	-0.01	0.01
